source,file,fsize,quantization,mse,qpoints,tse,arcs,finalpoints,retainedarcs,xmin,xmax,ymin,ymax
kr_nq.json,krmapall/kr_q_1000.json,421749,1000,6.933231195666293e-06,1227389,8.509771704017655,6505,51081,5181,124.61123024561805,131.87444501997163,33.108572583397375,38.61426803002342
kr_nq.json,krmapall/kr_q_2000.json,699720,2000,1.7347274586561108e-06,1227389,2.129185400752465,6557,91751,5546,124.61123024561805,131.87444501997163,33.108572583397375,38.61426803002342
kr_nq.json,krmapall/kr_q_3000.json,944909,3000,7.696281475565503e-07,1227389,0.9446331224012868,6270,127828,5526,124.61123024561805,131.87444501997163,33.108572583397375,38.61426803002342
kr_nq.json,krmapall/kr_q_4000.json,1161643,4000,4.332422000498077e-07,1227389,0.5317567106769334,5891,160494,5309,124.61123024561805,131.87444501997163,33.108572583397375,38.61426803002342
kr_nq.json,krmapall/kr_q_5000.json,1359595,5000,2.7680288370841137e-07,1227389,0.3397448146319833,5551,190192,5122,124.61123024561805,131.87444501997163,33.108572583397375,38.61426803002342
kr_nq.json,krmapall/kr_q_6000.json,1539359,6000,1.9202501815512703e-07,1227389,0.23568939500840322,5294,217303,4965,124.61123024561805,131.87444501997163,33.108572583397375,38.61426803002342
kr_nq.json,krmapall/kr_q_7000.json,1700850,7000,1.4106942571163156e-07,1227389,0.17314706135477376,4954,242124,4683,124.61123024561805,131.87444501997163,33.108572583397375,38.61426803002342
kr_nq.json,krmapall/kr_q_8000.json,1852093,8000,1.0813692634301137e-07,1227389,0.13272607388722238,4770,264809,4566,124.61123024561805,131.87444501997163,33.108572583397375,38.61426803002342
kr_nq.json,krmapall/kr_q_9000.json,1994900,9000,8.544562583528002e-08,1227389,0.10487502124833852,4566,286308,4419,124.61123024561805,131.87444501997163,33.108572583397375,38.61426803002342
kr_nq.json,krmapall/kr_q_10000.json,2124484,10000,6.92057792103129e-08,1227389,0.08494241213916674,4418,305779,4297,124.61123024561805,131.87444501997163,33.108572583397375,38.61426803002342
kr_nq.json,krmapall/kr_q_12000.json,2368425,12000,4.8171317544192206e-08,1227389,0.059124945269248524,4190,342444,4101,124.61123024561805,131.87444501997163,33.108572583397375,38.61426803002342
kr_nq.json,krmapall/kr_q_15000.json,2683668,15000,3.073405888494843e-08,1227389,0.03772264580073797,3795,389643,3745,124.61123024561805,131.87444501997163,33.108572583397375,38.61426803002342
kr_nq.json,krmapall/kr_q_20000.json,3122242,20000,1.7297312711358085e-08,1227389,0.021230531351481088,3518,454314,3498,124.61123024561805,131.87444501997163,33.108572583397375,38.61426803002342
kr_nq.json,krmapall/kr_q_25000.json,3475567,25000,1.107108173879476e-08,1227389,0.013588523944297562,3346,505841,3337,124.61123024561805,131.87444501997163,33.108572583397375,38.61426803002342
kr_nq.json,krmapall/kr_q_30000.json,3763010,30000,7.682253175955898e-09,1227389,0.009429113043383333,3211,547353,3208,124.61123024561805,131.87444501997163,33.108572583397375,38.61426803002342
